image_path,label
data\mri_dataset\benign\benign_0034.png,benign
data\mri_dataset\benign\benign_0000.png,benign
data\mri_dataset\malignant\malignant_0065.png,malignant
data\mri_dataset\benign\benign_0074.png,benign
data\mri_dataset\malignant\malignant_0079.png,malignant
data\mri_dataset\malignant\malignant_0036.png,malignant
data\mri_dataset\malignant\malignant_0058.png,malignant
data\mri_dataset\benign\benign_0077.png,benign
data\mri_dataset\benign\benign_0027.png,benign
data\mri_dataset\benign\benign_0072.png,benign
data\mri_dataset\benign\benign_0025.png,benign
data\mri_dataset\malignant\malignant_0035.png,malignant
data\mri_dataset\benign\benign_0079.png,benign
data\mri_dataset\malignant\malignant_0067.png,malignant
data\mri_dataset\benign\benign_0046.png,benign
data\mri_dataset\benign\benign_0010.png,benign
data\mri_dataset\benign\benign_0013.png,benign
data\mri_dataset\benign\benign_0054.png,benign
data\mri_dataset\benign\benign_0032.png,benign
data\mri_dataset\benign\benign_0065.png,benign
data\mri_dataset\malignant\malignant_0052.png,malignant
data\mri_dataset\malignant\malignant_0022.png,malignant
data\mri_dataset\malignant\malignant_0060.png,malignant
data\mri_dataset\benign\benign_0035.png,benign
data\mri_dataset\benign\benign_0007.png,benign
data\mri_dataset\benign\benign_0056.png,benign
data\mri_dataset\malignant\malignant_0028.png,malignant
data\mri_dataset\benign\benign_0044.png,benign
data\mri_dataset\benign\benign_0031.png,benign
data\mri_dataset\malignant\malignant_0038.png,malignant
data\mri_dataset\benign\benign_0045.png,benign
data\mri_dataset\benign\benign_0069.png,benign
data\mri_dataset\benign\benign_0038.png,benign
data\mri_dataset\benign\benign_0058.png,benign
data\mri_dataset\malignant\malignant_0050.png,malignant
data\mri_dataset\benign\benign_0063.png,benign
data\mri_dataset\benign\benign_0033.png,benign
data\mri_dataset\benign\benign_0042.png,benign
data\mri_dataset\malignant\malignant_0056.png,malignant
data\mri_dataset\benign\benign_0005.png,benign
data\mri_dataset\benign\benign_0047.png,benign
data\mri_dataset\benign\benign_0078.png,benign
data\mri_dataset\malignant\malignant_0070.png,malignant
data\mri_dataset\malignant\malignant_0045.png,malignant
data\mri_dataset\malignant\malignant_0064.png,malignant
data\mri_dataset\benign\benign_0008.png,benign
data\mri_dataset\malignant\malignant_0043.png,malignant
data\mri_dataset\malignant\malignant_0073.png,malignant
data\mri_dataset\malignant\malignant_0013.png,malignant
data\mri_dataset\malignant\malignant_0021.png,malignant
data\mri_dataset\malignant\malignant_0061.png,malignant
data\mri_dataset\benign\benign_0001.png,benign
data\mri_dataset\benign\benign_0023.png,benign
data\mri_dataset\benign\benign_0014.png,benign
data\mri_dataset\malignant\malignant_0003.png,malignant
data\mri_dataset\malignant\malignant_0069.png,malignant
data\mri_dataset\malignant\malignant_0051.png,malignant
data\mri_dataset\malignant\malignant_0047.png,malignant
data\mri_dataset\malignant\malignant_0032.png,malignant
data\mri_dataset\malignant\malignant_0044.png,malignant
data\mri_dataset\benign\benign_0066.png,benign
data\mri_dataset\benign\benign_0002.png,benign
data\mri_dataset\benign\benign_0051.png,benign
data\mri_dataset\malignant\malignant_0001.png,malignant
data\mri_dataset\benign\benign_0068.png,benign
data\mri_dataset\benign\benign_0076.png,benign
data\mri_dataset\benign\benign_0061.png,benign
data\mri_dataset\benign\benign_0016.png,benign
data\mri_dataset\benign\benign_0062.png,benign
data\mri_dataset\malignant\malignant_0034.png,malignant
data\mri_dataset\malignant\malignant_0072.png,malignant
data\mri_dataset\malignant\malignant_0023.png,malignant
data\mri_dataset\benign\benign_0050.png,benign
data\mri_dataset\benign\benign_0067.png,benign
data\mri_dataset\malignant\malignant_0020.png,malignant
data\mri_dataset\benign\benign_0009.png,benign
data\mri_dataset\malignant\malignant_0066.png,malignant
data\mri_dataset\benign\benign_0003.png,benign
data\mri_dataset\malignant\malignant_0025.png,malignant
data\mri_dataset\malignant\malignant_0004.png,malignant
data\mri_dataset\malignant\malignant_0053.png,malignant
data\mri_dataset\benign\benign_0019.png,benign
data\mri_dataset\benign\benign_0041.png,benign
data\mri_dataset\malignant\malignant_0026.png,malignant
data\mri_dataset\benign\benign_0064.png,benign
data\mri_dataset\benign\benign_0024.png,benign
data\mri_dataset\benign\benign_0060.png,benign
data\mri_dataset\benign\benign_0004.png,benign
data\mri_dataset\benign\benign_0036.png,benign
data\mri_dataset\benign\benign_0012.png,benign
data\mri_dataset\benign\benign_0037.png,benign
data\mri_dataset\benign\benign_0073.png,benign
data\mri_dataset\benign\benign_0018.png,benign
data\mri_dataset\malignant\malignant_0055.png,malignant
data\mri_dataset\benign\benign_0015.png,benign
data\mri_dataset\malignant\malignant_0016.png,malignant
data\mri_dataset\malignant\malignant_0027.png,malignant
data\mri_dataset\malignant\malignant_0019.png,malignant
data\mri_dataset\malignant\malignant_0068.png,malignant
data\mri_dataset\malignant\malignant_0015.png,malignant
data\mri_dataset\malignant\malignant_0040.png,malignant
data\mri_dataset\malignant\malignant_0017.png,malignant
data\mri_dataset\malignant\malignant_0077.png,malignant
data\mri_dataset\malignant\malignant_0063.png,malignant
data\mri_dataset\benign\benign_0017.png,benign
data\mri_dataset\malignant\malignant_0018.png,malignant
data\mri_dataset\malignant\malignant_0062.png,malignant
data\mri_dataset\malignant\malignant_0009.png,malignant
data\mri_dataset\benign\benign_0029.png,benign
data\mri_dataset\benign\benign_0049.png,benign
data\mri_dataset\malignant\malignant_0075.png,malignant
data\mri_dataset\benign\benign_0022.png,benign
