image_path,mask_path
ai\data\segmentation\images\BraTS2021_00001_z000.png,ai\data\segmentation\masks\BraTS2021_00001_z000.png
ai\data\segmentation\images\BraTS2021_00001_z002.png,ai\data\segmentation\masks\BraTS2021_00001_z002.png
ai\data\segmentation\images\BraTS2021_00001_z004.png,ai\data\segmentation\masks\BraTS2021_00001_z004.png
ai\data\segmentation\images\BraTS2021_00001_z006.png,ai\data\segmentation\masks\BraTS2021_00001_z006.png
ai\data\segmentation\images\BraTS2021_00001_z008.png,ai\data\segmentation\masks\BraTS2021_00001_z008.png
ai\data\segmentation\images\BraTS2021_00001_z010.png,ai\data\segmentation\masks\BraTS2021_00001_z010.png
ai\data\segmentation\images\BraTS2021_00001_z012.png,ai\data\segmentation\masks\BraTS2021_00001_z012.png
ai\data\segmentation\images\BraTS2021_00001_z014.png,ai\data\segmentation\masks\BraTS2021_00001_z014.png
ai\data\segmentation\images\BraTS2021_00001_z016.png,ai\data\segmentation\masks\BraTS2021_00001_z016.png
ai\data\segmentation\images\BraTS2021_00001_z018.png,ai\data\segmentation\masks\BraTS2021_00001_z018.png
ai\data\segmentation\images\BraTS2021_00001_z020.png,ai\data\segmentation\masks\BraTS2021_00001_z020.png
ai\data\segmentation\images\BraTS2021_00001_z022.png,ai\data\segmentation\masks\BraTS2021_00001_z022.png
ai\data\segmentation\images\BraTS2021_00001_z024.png,ai\data\segmentation\masks\BraTS2021_00001_z024.png
ai\data\segmentation\images\BraTS2021_00001_z026.png,ai\data\segmentation\masks\BraTS2021_00001_z026.png
ai\data\segmentation\images\BraTS2021_00001_z028.png,ai\data\segmentation\masks\BraTS2021_00001_z028.png
ai\data\segmentation\images\BraTS2021_00001_z030.png,ai\data\segmentation\masks\BraTS2021_00001_z030.png
ai\data\segmentation\images\BraTS2021_00001_z032.png,ai\data\segmentation\masks\BraTS2021_00001_z032.png
ai\data\segmentation\images\BraTS2021_00001_z034.png,ai\data\segmentation\masks\BraTS2021_00001_z034.png
ai\data\segmentation\images\BraTS2021_00001_z036.png,ai\data\segmentation\masks\BraTS2021_00001_z036.png
ai\data\segmentation\images\BraTS2021_00001_z038.png,ai\data\segmentation\masks\BraTS2021_00001_z038.png
ai\data\segmentation\images\BraTS2021_00001_z040.png,ai\data\segmentation\masks\BraTS2021_00001_z040.png
ai\data\segmentation\images\BraTS2021_00001_z042.png,ai\data\segmentation\masks\BraTS2021_00001_z042.png
ai\data\segmentation\images\BraTS2021_00001_z044.png,ai\data\segmentation\masks\BraTS2021_00001_z044.png
ai\data\segmentation\images\BraTS2021_00001_z046.png,ai\data\segmentation\masks\BraTS2021_00001_z046.png
ai\data\segmentation\images\BraTS2021_00001_z048.png,ai\data\segmentation\masks\BraTS2021_00001_z048.png
ai\data\segmentation\images\BraTS2021_00001_z050.png,ai\data\segmentation\masks\BraTS2021_00001_z050.png
ai\data\segmentation\images\BraTS2021_00001_z052.png,ai\data\segmentation\masks\BraTS2021_00001_z052.png
ai\data\segmentation\images\BraTS2021_00001_z054.png,ai\data\segmentation\masks\BraTS2021_00001_z054.png
ai\data\segmentation\images\BraTS2021_00001_z056.png,ai\data\segmentation\masks\BraTS2021_00001_z056.png
ai\data\segmentation\images\BraTS2021_00001_z058.png,ai\data\segmentation\masks\BraTS2021_00001_z058.png
ai\data\segmentation\images\BraTS2021_00001_z060.png,ai\data\segmentation\masks\BraTS2021_00001_z060.png
ai\data\segmentation\images\BraTS2021_00001_z062.png,ai\data\segmentation\masks\BraTS2021_00001_z062.png
ai\data\segmentation\images\BraTS2021_00002_z000.png,ai\data\segmentation\masks\BraTS2021_00002_z000.png
ai\data\segmentation\images\BraTS2021_00002_z002.png,ai\data\segmentation\masks\BraTS2021_00002_z002.png
ai\data\segmentation\images\BraTS2021_00002_z004.png,ai\data\segmentation\masks\BraTS2021_00002_z004.png
ai\data\segmentation\images\BraTS2021_00002_z006.png,ai\data\segmentation\masks\BraTS2021_00002_z006.png
ai\data\segmentation\images\BraTS2021_00002_z008.png,ai\data\segmentation\masks\BraTS2021_00002_z008.png
ai\data\segmentation\images\BraTS2021_00002_z010.png,ai\data\segmentation\masks\BraTS2021_00002_z010.png
ai\data\segmentation\images\BraTS2021_00002_z012.png,ai\data\segmentation\masks\BraTS2021_00002_z012.png
ai\data\segmentation\images\BraTS2021_00002_z014.png,ai\data\segmentation\masks\BraTS2021_00002_z014.png
ai\data\segmentation\images\BraTS2021_00002_z016.png,ai\data\segmentation\masks\BraTS2021_00002_z016.png
ai\data\segmentation\images\BraTS2021_00002_z018.png,ai\data\segmentation\masks\BraTS2021_00002_z018.png
ai\data\segmentation\images\BraTS2021_00002_z020.png,ai\data\segmentation\masks\BraTS2021_00002_z020.png
ai\data\segmentation\images\BraTS2021_00002_z022.png,ai\data\segmentation\masks\BraTS2021_00002_z022.png
ai\data\segmentation\images\BraTS2021_00002_z024.png,ai\data\segmentation\masks\BraTS2021_00002_z024.png
ai\data\segmentation\images\BraTS2021_00002_z026.png,ai\data\segmentation\masks\BraTS2021_00002_z026.png
ai\data\segmentation\images\BraTS2021_00002_z028.png,ai\data\segmentation\masks\BraTS2021_00002_z028.png
ai\data\segmentation\images\BraTS2021_00002_z030.png,ai\data\segmentation\masks\BraTS2021_00002_z030.png
